"EnsemblID","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Expression"
"ENSG00000236305.3","SLC12A9-AS1",14.6309071729313,-6.40941091036199,1.51396257885789,-4.23353324571413,2.30048155842345e-05,0.0158855341282585,"Down-regulated"
"ENSG00000229256.1","ST13P13",18.8259358944585,-5.89824163418938,1.68949037543157,-3.49113656991546,0.000480970329537466,0.0924346447602922,"Unchanged"
"ENSG00000080293.10","SCTR",16.384692828792,-4.50701861357352,1.85382947891636,-2.4311937342846,0.0150491652996477,0.44605249139168,"Unchanged"
"ENSG00000236303.4","LINC02646",19.263209818284,-4.16889761683921,1.65550863277742,-2.51819744959296,0.0117957174930291,0.41485710406346,"Unchanged"
"ENSG00000260475.2","SLC25A28-DT",14.9196975907826,-4.13669884469905,1.84315151568643,-2.24436179526915,0.0248091325481254,0.51918808961137,"Unchanged"
"ENSG00000174473.17","GALNTL6",16.3690930824227,-4.03804999297552,1.568949944281,-2.57372773917656,0.0100609409127853,0.382031776514916,"Unchanged"
"ENSG00000239577.3","RN7SL388P",18.552526859201,-3.9665989671364,1.23376268434569,-3.215042096398,0.00130425394086423,0.159508563131408,"Unchanged"
"ENSG00000250862.1","HMGB1P29",37.5951529189481,-3.92087417859105,1.11017123764483,-3.53177423953892,0.000412781599837986,0.0835949317349315,"Unchanged"
"ENSG00000269113.4","TRABD2B",14.8601428469376,-3.88931147164885,1.72749918924541,-2.25141145990797,0.0243594889699251,0.516651593760776,"Unchanged"
"ENSG00000226609.2","SNX30-DT",13.238353206642,-3.8660572103007,1.88428022712611,-2.05174217435651,0.0401947257178359,0.60794333870804,"Unchanged"
"ENSG00000266549.1","ATP6V1E1P2",19.6332234705134,-3.70355082764484,1.64477527623253,-2.25170628544957,0.0243408392005418,0.516651593760776,"Unchanged"
"ENSG00000224986.2","PPP1R8P1",19.7567384376605,-3.69744038616917,1.40121733815162,-2.63873439579798,0.00832161503633993,0.3516847776917,"Unchanged"
"ENSG00000282173.1","TRBJ1-5",13.652577512345,-3.64932904642449,1.7070366707145,-2.13781526140093,0.0325317398716663,0.562429600524599,"Unchanged"
"ENSG00000121764.12","HCRTR1",14.4216643887242,-3.62654754885193,1.80888280272811,-2.00485489904734,0.0449785614783882,0.620779499366539,"Unchanged"
