Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
DW7012.M0.NSB	0.03080715615631	0	0.0116985755898999	0.15839831144101	0	0.00104493301107964	0	0.0887431806460066	0.0602756055727582	0	0	0.126846734998815	0.0271625621032591	0	0.248329979176192	0.00878095749871978	0.0611570128513231	0.00525170660731464	0	0.041517760235296	0	0.129985524112015	0	0.582848701369995	0.813985805439469
DW7012.M0.PAX	0.0996706846833087	0	0.0271408858273664	0.32341103242467	0	0	0.00447245993505468	0.0026869157270151	0.147685843190275	0	0.124645455498578	0.0223512327276451	0.134403701846575	0	0	0.00149043304941715	0	0	0.00237940968724899	0	0	0.109661945402847	0	0.745398044139244	0.697335818439453
DY4620.M0.NSB	0.313071153745811	0	0.0863597715718677	0.129219668736214	0	0.0604454094208413	0.0107742990819132	0.0305662547503212	0.147911284380637	0	0.0226166244733032	0.0272658941772526	0.0175970188122172	0.043601152818319	0.0676662950544308	0.0242871598652261	0.000998782520977755	0	0	0.0103980560281185	0	0.00722117456254951	0	0.522629111261688	0.851974887531689
DY4620.M0.PAX	0.0817826409121904	0	0.041123665689623	0.264109559361271	0	0	0	0	0.140161309777596	0	0.198104090914072	0	0.164779365789755	0.00726250258776707	0	0.00284037743661205	0	0	0	0	0	0.0998364875311129	0	0.686168128172396	0.743215869745008
E24969.M0.PAX	0.043762582205035	0	0.0652508752377751	0.247656779089188	0.0348260877175555	0	0	0.000121905262757385	0.166739044130372	0	0.111541972150331	0.0276645327237449	0.222251657103869	0.0122616546761488	0	0	0	0	0.00489840448750462	0	0	0.0630245052157185	0	0.518116514421201	0.854570496555467
E410D2.M0.PAX	0.131613566336757	0	0.0473072196425513	0.220380777380594	0	0	0.00331314729200344	0	0.132704964907927	0	0.109393799525248	0	0.149665536622666	0	0	0.00520975529894278	0	0	0	0	0	0.20041123299331	0	0.717480495883701	0.724647409189631
E48FF4.M0.PAX	0.0508909406528674	0	0.039531304908196	0.219443876420299	0.00576532044152975	0	0.00200967990169476	0	0.146914057270299	0	0.165987632687196	0.0107274423466182	0.191655766079212	0	0	0.00714151729744432	0	0	0.0113268248267366	0	0	0.148605637167906	0	0.664056606354219	0.760998198222732
ED1053.M0.NSB	0.017725878589111	0	0.00929878967469043	0.34853045437661	0	0.057497302722497	0	0.0670203309183004	0.159348975472733	0	0	0.0478652820688709	0.0265844101189467	0	0.0354081201207933	0.00545748219966859	0.113462338234926	0	0	0.0580568043169339	0.00765988593960213	0.0460839452463168	0	0.612937865052841	0.794000921226059
ED1053.M0.PAX	0.172225885710254	0	0.045887805461461	0.291603274390411	0	0	0.00230670385844596	0	0.162208807185501	0	0.0671129163926927	0.0353663518919254	0.119180812657856	0.0175882362621093	0	0.00361754882467957	0	0	0.0146322269290626	0	0	0.0682694304356021	0	0.748187940641446	0.70299417684791
EE8681.M0.PAX	0.0664692418485178	0	0.0253517344601546	0.241953068035025	0	0	0.00555683903415871	0	0.135140544522474	0	0.125045781756914	0	0.173910455669076	0.00606062067736074	0	0	0	0	0	0	0	0.220511713996319	0	0.742868522400874	0.700338009643874
EF9688.M0.NSB	0.206737526969963	0.265610295341019	0.05438152963049	0.168182164801472	0	0	0.00256060920809459	0.0790288250791544	0.107015770017172	0	0	0.0277182713950169	0.00892630006236382	0.0358838157189363	0.0106148740194789	0.0132542236385529	0	0.00440155027011127	0.00681521879416971	0	0	0.00886902505400568	0	0.572610923030086	0.819518329584497
