"EnsemblID","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Expression"
"ENSG00000232869.2","TRBV29-1",34.2185961890449,-8.86150339760837,1.28738143468895,-6.88335497066528,5.84591118331846e-12,1.14416173679909e-07,"Down-regulated"
"ENSG00000253802.2","SIRLNT",15.9244714842247,-8.07459146046699,1.59531987347487,-5.0614247303766,4.16135023622334e-07,0.00214962587103023,"Down-regulated"
"ENSG00000254703.4","SENCR",13.4197027989959,-7.06486291616871,1.53944232331295,-4.58923521146592,4.44872921735741e-06,0.0145117547070199,"Down-regulated"
"ENSG00000204528.3","PSORS1C3",44.4049410200159,-6.40513120373475,1.23090955572274,-5.20357582241198,1.95489937851607e-07,0.00191306453181583,"Down-regulated"
"ENSG00000182492.16","BGN",66.6835785377478,-5.43628456495648,1.16606862016686,-4.66206231000245,3.13056369903345e-06,0.0122542785434965,"Down-regulated"
"ENSG00000170561.13","IRX2",45.1013077921949,-3.59874309334625,0.851861795364679,-4.22456214485548,2.39405783754532e-05,0.0493115708587355,"Down-regulated"
"ENSG00000226533.1","BTBD9-AS1",72.0740734876776,-2.95917883547947,0.702384626300449,-4.21304613551388,2.51949575203022e-05,0.0493115708587355,"Down-regulated"
"ENSG00000149021.7","SCGB1A1",8361.423077644,-2.92402330782003,0.66730060952328,-4.38186818068241,1.17665996102612e-05,0.028786985946504,"Down-regulated"
"ENSG00000172037.14","LAMB2",2334.29261211456,-0.690673300212233,0.15427687944884,-4.47684256176098,7.57550716475247e-06,0.0211811180326479,"Down-regulated"
"ENSG00000229941.6","PDE11A-AS1",7.1507664927064,-6.76195623721632,2.16319836469285,-3.12590668871759,0.00177257786133672,0.278346795052338,"Unchanged"
"ENSG00000183888.4","SRARP",9.45301482199801,-6.66360651956393,1.70386099729127,-3.91088623435684,9.1958081483331e-05,0.0902131111517769,"Unchanged"
"ENSG00000183775.11","KCTD16",19.4766062934683,-5.6837159736176,1.37091376797922,-4.1459325206104,3.38433493738477e-05,0.0602165485404497,"Unchanged"
"ENSG00000243307.2","POM121L6P",15.7034829053176,-5.48102018753881,1.76485937812116,-3.10564130801957,0.00189866877343372,0.286850788022498,"Unchanged"
"ENSG00000176692.8","FOXC2",22.7697667700928,-5.35526018282838,1.36121113109616,-3.93418776888483,8.3478506604515e-05,0.0902131111517769,"Unchanged"
"ENSG00000233431.1","LINC02596",19.3104231858404,-5.26217937270155,1.57973740364458,-3.33104689460493,0.000865200257239912,0.235190269926383,"Unchanged"
"ENSG00000226874.1","TRPC6P10",9.74325465170404,-5.18676381059437,1.45703484561104,-3.55980766432473,0.00037112650743423,0.173646750751459,"Unchanged"
"ENSG00000253457.3","SMIM18",10.8313760110434,-5.08989341696756,1.25151723550356,-4.0669782825001,4.7626679634663e-05,0.0663871120756915,"Unchanged"
"ENSG00000255474.1","GAU1",8.03884368221136,-4.95601795736218,1.59105649927524,-3.1149226690691,0.00183993139845416,0.283901540925803,"Unchanged"
"ENSG00000272674.4","PCDHB16",12.4471116443126,-4.86718959837446,1.47506077258429,-3.29965360671018,0.000968042339717988,0.241662492077877,"Unchanged"
"ENSG00000196805.8","SPRR2B",23.3166142596747,-4.83902645285165,1.52671675155985,-3.16956399928644,0.00152667832713979,0.271939854491309,"Unchanged"
"ENSG00000275084.4","SNORD91B",10.4957521877633,-4.77084881910463,1.68856291735804,-2.82539002252234,0.00472230959114037,0.397838907501464,"Unchanged"
"ENSG00000171794.4","UTF1",14.9225556151723,-4.54427458557444,1.57950156199452,-2.87703076395578,0.00401436456538799,0.387040114649131,"Unchanged"
"ENSG00000095059.17","DHPS",14.6516058963192,-4.51326636578473,1.2487868860808,-3.61412056459786,0.000301368809142906,0.152788068722964,"Unchanged"
"ENSG00000180537.13","RNF182",16.7786286932341,-4.46999718062369,1.75414138017399,-2.54825365340867,0.0108263720350904,0.502233071855212,"Unchanged"
"ENSG00000250328.7","MGC32805",16.0069512822557,-4.44249946372748,1.50408220375108,-2.95362810134193,0.00314062231546607,0.345327303136527,"Unchanged"
"ENSG00000208892.1","SNORA49",12.7957420067122,-4.43833922083725,1.310902727745,-3.38571209510871,0.000709938240085561,0.231811743359454,"Unchanged"
"ENSG00000241188.3","RN7SL165P",10.1633130680722,-4.42215026769548,1.36137508418721,-3.24829675455361,0.00116098118117175,0.249700260196632,"Unchanged"
"ENSG00000229390.1","MICD",10.4985440844101,-4.41910474728534,1.47658115186599,-2.99279503988035,0.00276435327464806,0.320506865527942,"Unchanged"
