"EnsemblID","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Expression"
"ENSG00000232869.2","TRBV29-1",34.2215473982956,-10.7057946985245,1.66167131520553,-6.44278721101972,1.17299100998053e-10,2.30563112921773e-06,"Down-regulated"
"ENSG00000249628.3","LINC00942",15.6211900683879,-9.23043759414299,1.81274011636932,-5.09198064895831,3.54342275846567e-07,0.00139299035480802,"Down-regulated"
"ENSG00000086717.19","PPEF1",9.94265643304197,-8.07065130476448,1.84464033144971,-4.37518966010123,1.21326941903371e-05,0.0125515914213298,"Down-regulated"
"ENSG00000111262.6","KCNA1",38.539056834486,-7.89029631796982,1.85456470343494,-4.25452738497383,2.09491021161615e-05,0.0162534115969195,"Down-regulated"
"ENSG00000241014.2","GPR199P",12.1954622062528,-7.82635649118611,2.03850493447616,-3.8392629612139,0.000123404205595914,0.0356710744881365,"Down-regulated"
"ENSG00000176692.8","FOXC2",22.7695600166765,-7.78144513976352,1.72271503574608,-4.51696593940362,6.27319911887399e-06,0.00880757156289908,"Down-regulated"
"ENSG00000139637.14","MYG1",13.0354598258789,-7.77540349323962,1.89829473425205,-4.09599381642031,4.20361150333139e-05,0.020217891009994,"Down-regulated"
"ENSG00000179914.5","ITLN1",340.025609749181,-7.50101253557049,1.80868860341419,-4.14721059302918,3.36550476689747e-05,0.020217891009994,"Down-regulated"
"ENSG00000204528.3","PSORS1C3",44.405267294219,-7.27282737302722,1.5337006485443,-4.74201232158973,2.11605750548278e-06,0.00519915329097119,"Down-regulated"
"ENSG00000183775.11","KCTD16",19.4763762938625,-7.14526617576122,1.77295611145433,-4.03014272581179,5.57429956792994e-05,0.024348540512718,"Down-regulated"
"ENSG00000229056.2","HECW2-AS1",15.4528846622035,-7.11988230872061,1.72276726898293,-4.13281726261492,3.58343624598803e-05,0.020217891009994,"Down-regulated"
"ENSG00000163016.11","ALMS1P1",11.6778209665132,-7.02394569201332,1.60471875164856,-4.3770571539701,1.20292439051471e-05,0.0125515914213298,"Down-regulated"
"ENSG00000259240.1","MIR4713HG",9.69628443189125,-7.0014164467528,1.79063497362458,-3.91001882007287,9.22889303217064e-05,0.0292742262891447,"Down-regulated"
"ENSG00000236165.1","PRADC1P1",12.6452004737904,-6.99172336118843,1.72809135454864,-4.0459223077443,5.21175173548045e-05,0.0238237656075823,"Down-regulated"
"ENSG00000228322.1","GLIS3-AS2",21.4823941866727,-6.79739374455126,1.54412269472011,-4.40210727281834,1.07204525482269e-05,0.0123953656051734,"Down-regulated"
"ENSG00000291019.1","AACSP1",19.3300981316955,-6.58158749270727,1.4557600409204,-4.52106618378264,6.15289458574468e-06,0.00880757156289908,"Down-regulated"
"ENSG00000268879.1","IGFL1P1",44.5507129425733,-6.52669497048291,1.59485287710959,-4.09234924685435,4.2702485607386e-05,0.020217891009994,"Down-regulated"
