"EnsemblID","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Expression"
"ENSG00000170160.19","CCDC144A",24.3233424400326,-4.04578763243046,1.30576533238105,-3.09840331344454,0.0019456644549793,0.999878514901625,"Unchanged"
"ENSG00000248909.1","HMGB1P21",11.4227343794027,-3.64874040400209,1.2192080153685,-2.99271359604643,0.0027650910123567,0.999878514901625,"Unchanged"
"ENSG00000211651.3","IGLV1-44",396.9263865398,-3.61773355783591,1.30092191235768,-2.78089985530296,0.00542084565419717,0.999878514901625,"Unchanged"
"ENSG00000164694.17","FNDC1",48.774318391189,-3.40348929627805,1.01031201613999,-3.36875068484434,0.000755096964978513,0.999878514901625,"Unchanged"
"ENSG00000290783.1","ADAM20P1",10.9455975846951,-3.34775491183145,1.08853983826872,-3.07545465415021,0.00210181886300487,0.999878514901625,"Unchanged"
"ENSG00000117215.15","PLA2G2D",175.648003945321,-3.34770340646502,1.01920952314078,-3.28460765961918,0.0010212447301127,0.999878514901625,"Unchanged"
"ENSG00000258474.1","LINC02313",11.5616346801972,-3.01645632662561,1.14573035745069,-2.63278031083804,0.00846891069204768,0.999878514901625,"Unchanged"
"ENSG00000182583.13","VCX",15.9103130931159,-2.98268927592001,1.09249981125262,-2.73015083865339,0.0063305353003999,0.999878514901625,"Unchanged"
"ENSG00000211679.2","IGLC3",1244.00049386044,-2.90474161438891,1.04165897260897,-2.78857254703389,0.00529408887362754,0.999878514901625,"Unchanged"
"ENSG00000211659.2","IGLV3-25",292.572094575949,-2.75419301341043,1.15672880487646,-2.38101878486944,0.0172648315202661,0.999878514901625,"Unchanged"
"ENSG00000188508.11","KRTDAP",24.0039673728025,-2.62928283984177,1.14768577811232,-2.29094312222492,0.0219667034983074,0.999878514901625,"Unchanged"
"ENSG00000111262.6","KCNA1",47.9033443123147,-2.6272102135396,1.21274609195036,-2.16633162619759,0.0302858546472023,0.999878514901625,"Unchanged"
"ENSG00000168992.4","OR7E102P",15.3760142694597,-2.59319545099942,0.965555512799564,-2.68570311765983,0.00723773676460467,0.999878514901625,"Unchanged"
"ENSG00000114948.13","ADAM23",61.4792046699287,-2.57381516296,1.18975021594327,-2.16332397209896,0.0305162705667083,0.999878514901625,"Unchanged"
"ENSG00000231187.3","SYT15-AS1",16.0999307339558,-2.51116184143328,1.04914333262948,-2.39353552878188,0.0166868651117952,0.999878514901625,"Unchanged"
"ENSG00000163612.10","FAM86KP",8.62046964528599,-2.45354576175863,1.08419036460244,-2.26302118323871,0.0236343834942309,0.999878514901625,"Unchanged"
"ENSG00000250033.5","SLC7A11-AS1",17.2053659932428,-2.43608764107886,1.08287673587645,-2.24964445201343,0.0244715242784141,0.999878514901625,"Unchanged"
"ENSG00000211648.2","IGLV1-47",328.689055608044,-2.4312472617924,1.18467261159908,-2.05225244340771,0.0401451351653092,0.999878514901625,"Unchanged"
"ENSG00000211893.4","IGHG2",6028.47114883998,-2.40212843783177,0.830797486623498,-2.89135255764245,0.00383587536179763,0.999878514901625,"Unchanged"
"ENSG00000196208.14","GREB1",18.7802378893425,-2.34834550540472,0.84633201159637,-2.77473316999462,0.00552470149024384,0.999878514901625,"Unchanged"
"ENSG00000232788.1","ITGA6-AS1",12.0189655611324,-2.34575409549659,1.23151276725706,-1.90477448376055,0.056809392078491,0.999878514901625,"Unchanged"
"ENSG00000211673.2","IGLV3-1",570.327883694064,-2.32750539547621,1.02558226881408,-2.26944777250058,0.0232411098578616,0.999878514901625,"Unchanged"
"ENSG00000258413.2","FBXO34-AS1",12.2111482853087,-2.32524475772164,1.27199149487834,-1.8280348312738,0.0675443243171284,0.999878514901625,"Unchanged"
"ENSG00000211668.2","IGLV2-11",232.785906075359,-2.3027414718159,1.22488730691676,-1.87996190246455,0.0601132703121954,0.999878514901625,"Unchanged"
"ENSG00000172724.12","CCL19",87.965680792828,-2.30232210725869,1.0214900007647,-2.25388609338824,0.024203334765836,0.999878514901625,"Unchanged"
"ENSG00000211897.9","IGHG3",7052.7860503936,-2.29393850026836,0.697639873871841,-3.28814132646576,0.00100851199214338,0.999878514901625,"Unchanged"
"ENSG00000240654.6","C1QTNF9",8.61502940743101,-2.28252655697104,1.18901624551617,-1.91967651037448,0.0548987730837845,0.999878514901625,"Unchanged"
"ENSG00000253457.3","SMIM18",9.85485037104956,-2.27860729243435,1.08361085685189,-2.10279112471628,0.0354840321979937,0.999878514901625,"Unchanged"
"ENSG00000171017.11","LRRC8E",32.6267468913884,-2.26190338177729,0.767661276582228,-2.94648623133332,0.00321406727695937,0.999878514901625,"Unchanged"
"ENSG00000168631.13","MUCL3",27.4872138668113,-2.24358758134461,1.03001372319346,-2.17821134886299,0.0293903055426039,0.999878514901625,"Unchanged"
"ENSG00000196196.3","HRCT1",23.4857243754948,-2.23283919399063,1.04191111055127,-2.1430227313818,0.0321112731390328,0.999878514901625,"Unchanged"
"ENSG00000132874.15","SLC14A2",21.242001042,-2.22551906535777,0.863167421611164,-2.57831680116434,0.00992829289374719,0.999878514901625,"Unchanged"
"ENSG00000253463.1","HMGB1P19",16.8048317975978,-2.21936806415311,1.02706118831113,-2.16089176517572,0.0307037011694782,0.999878514901625,"Unchanged"
"ENSG00000100721.11","TCL1A",1150.62879541568,-2.17304660177361,0.859311361422499,-2.52882331053596,0.0114445625346808,0.999878514901625,"Unchanged"
"ENSG00000265939.1","UBE2CP2",15.3107880079089,-2.16615768144913,1.13440105679758,-1.9095166285936,0.0561954786999199,0.999878514901625,"Unchanged"
