"EnsemblID","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Expression"
"ENSG00000187244.12","BCAM",86.9193860170006,-1.85062216060504,0.399027129683106,-4.63783543258009,3.52076933458184e-06,0.00559555870345091,"Down-regulated"
"ENSG00000238243.3","OR2W3",567.268424335344,-1.65562718058957,0.344863130351929,-4.80082396427831,1.5801412588828e-06,0.00279035389193604,"Down-regulated"
"ENSG00000142408.7","CACNG8",188.972128829834,-1.36762466964543,0.245287189080267,-5.57560578183269,2.46669959415632e-08,0.000392032566499264,"Down-regulated"
"ENSG00000130433.8","CACNG6",142.25373580242,-1.36640741374214,0.271454304347504,-5.03365535877791,4.81214481861435e-07,0.0012746569600373,"Down-regulated"
"ENSG00000157368.12","IL34",25.3016570367309,-1.25851527470141,0.320183914772892,-3.93060118461629,8.4733724037041e-05,0.0390952861913854,"Down-regulated"
"ENSG00000103355.14","PRSS33",716.716258828565,-1.20018795158037,0.26435713506124,-4.54002480887205,5.62476095671766e-06,0.00702846751127723,"Down-regulated"
"ENSG00000162366.8","PDZK1IP1",1675.25381528573,-1.18190359592669,0.307482834842411,-3.84380349729907,0.000121142018574542,0.0422664321880707,"Down-regulated"
"ENSG00000161905.13","ALOX15",1086.31142188518,-1.17032901111759,0.255630069654368,-4.57821340306313,4.68964131313029e-06,0.00677567903541634,"Down-regulated"
"ENSG00000198892.7","SHISA4",337.569639959452,-1.06757515159306,0.257183056004495,-4.15103221875704,3.30979164645675e-05,0.0239102357441532,"Down-regulated"
"ENSG00000129946.11","SHC2",64.7666494988921,-1.04142929602579,0.265769288369123,-3.91854642956098,8.90845710296422e-05,0.0390952861913854,"Down-regulated"
"ENSG00000179348.13","GATA2",550.765491980509,-1.01260635886438,0.252972922589731,-4.00282507905645,6.2590579114298e-05,0.034364650320166,"Down-regulated"
"ENSG00000134489.7","HRH4",88.175476223781,-1.00843323263745,0.196688464280049,-5.12705834746677,2.94304329020225e-07,0.000935475740223687,"Down-regulated"
"ENSG00000091181.20","IL5RA",355.672606872474,-1.00022695590158,0.204413183054542,-4.89316266668916,9.92283248215122e-07,0.00225290823769756,"Down-regulated"
"ENSG00000184792.16","OSBP2",1682.58015695682,-0.971848126246245,0.223461224481258,-4.34906829362584,1.36717135189393e-05,0.0120713634975834,"Down-regulated"
"ENSG00000105205.7","CLC",2371.02117885853,-0.960571520796883,0.2223693743933,-4.31971139648907,1.56233385725237e-05,0.0130685115754273,"Down-regulated"
"ENSG00000105366.15","SIGLEC8",333.503305248828,-0.936222576273457,0.234842968210111,-3.98658977702849,6.70297715928489e-05,0.034364650320166,"Down-regulated"
"ENSG00000102109.9","PCSK1N",434.820671513953,-0.935992546300758,0.206374252227607,-4.53541338707538,5.74907680403977e-06,0.00702846751127723,"Down-regulated"
"ENSG00000290418.1","TPTEP1",304.425621940114,-0.930826492294168,0.213135218453522,-4.36730493931557,1.2578904970641e-05,0.0117597962763764,"Down-regulated"
"ENSG00000011028.14","MRC2",528.68639399632,-0.884894217649492,0.202012520374907,-4.38039293805776,1.1846548762343e-05,0.0117597962763764,"Down-regulated"
"ENSG00000171552.14","BCL2L1",9576.02028750697,-0.880540217886295,0.225008109795215,-3.91337102777181,9.10165223105304e-05,0.0390952861913854,"Down-regulated"
"ENSG00000102145.16","GATA1",1109.48886251241,-0.847159469774915,0.226547812106845,-3.73942904986156,0.0001844386949946,0.0476189673302345,"Down-regulated"
"ENSG00000198400.14","NTRK1",41.1279644238534,-0.840160390345345,0.206984665025056,-4.05904654938395,4.92734914663052e-05,0.0300191416339674,"Down-regulated"
"ENSG00000183134.5","PTGDR2",826.320160195649,-0.825884084043764,0.160583443018669,-5.1430214007041,2.703548118702e-07,0.000935475740223687,"Down-regulated"
"ENSG00000203867.8","RBM20",32.7584686248149,-0.819266420018508,0.208125762930742,-3.93640080152468,8.27127874863674e-05,0.0390952861913854,"Down-regulated"
"ENSG00000088992.18","TESC",3731.74562993446,-0.819232345770969,0.213480078521335,-3.83751191888894,0.0001242872037541,0.0422664321880707,"Down-regulated"
"ENSG00000182557.8","SPNS3",554.524461938773,-0.80388251592535,0.15437991924515,-5.20717020617697,1.91742202669221e-07,0.000935475740223687,"Down-regulated"
"ENSG00000100225.18","FBXO7",20682.1235907912,-0.788443307459019,0.203379349585582,-3.87671270001403,0.000105877254462507,0.0415317336079649,"Down-regulated"
"ENSG00000274376.5","ADAMTS7P1",191.762269383313,-0.770070801377925,0.173322211310835,-4.44300124925642,8.87126505438975e-06,0.00987161610457199,"Down-regulated"
"ENSG00000114315.4","HES1",96.3091190002041,-0.74623876269271,0.145138429091424,-5.14156565813901,2.72458403544773e-07,0.000935475740223687,"Down-regulated"
"ENSG00000168785.8","TSPAN5",1068.71673872545,-0.733255617987779,0.18436388045923,-3.97721948660075,6.9725801042317e-05,0.0346297548739233,"Down-regulated"
"ENSG00000066926.13","FECH",1231.56707079648,-0.717335857471778,0.188557907916644,-3.80432656151919,0.000142190496598837,0.0425601448674334,"Down-regulated"
"ENSG00000107262.26","BAG1",7874.08464008038,-0.708501419726544,0.18589004953623,-3.81140045685155,0.000138181699922727,0.0425601448674334,"Down-regulated"
"ENSG00000100116.17","GCAT",143.787854949571,-0.691723338572711,0.1560590096074,-4.43244731792729,9.31694718231799e-06,0.00987161610457199,"Down-regulated"
"ENSG00000282608.2","ADORA3",141.19086975362,-0.626199363248102,0.165253727971613,-3.78932064610168,0.000151059829100372,0.0425601448674334,"Down-regulated"
"ENSG00000197965.12","MPZL1",3129.89798773373,-0.623902840568523,0.162639046822202,-3.83611963276308,0.000124993538843473,0.0422664321880707,"Down-regulated"
"ENSG00000103056.12","SMPD3",1545.25379710725,-0.596937455153854,0.123972923711226,-4.81506313866016,1.47153355257602e-06,0.00279035389193604,"Down-regulated"
"ENSG00000100325.15","ASCC2",9881.93595181891,-0.567686199422297,0.141943774217306,-3.99937371365939,6.35103258867922e-05,0.034364650320166,"Down-regulated"
"ENSG00000112759.19","SLC29A1",1294.36565488378,-0.561399396626162,0.136924266071422,-4.10007234461515,4.13021005398512e-05,0.0273505951616606,"Down-regulated"
"ENSG00000132819.17","RBM38",11411.5240729368,-0.540708253855951,0.141294396034242,-3.82682023514161,0.000129809241271577,0.0425601448674334,"Down-regulated"
"ENSG00000104903.5","LYL1",8745.21209633977,-0.521840369434466,0.137573160399596,-3.79318442579007,0.000148727609930457,0.0425601448674334,"Down-regulated"
"ENSG00000055118.17","KCNH2",225.60666509567,-0.508116303054299,0.131166654490416,-3.87382223804014,0.000107141576664353,0.0415317336079649,"Down-regulated"
"ENSG00000196565.15","HBG2",26.1192313368847,-2.09051438718044,0.599581852040765,-3.48662051739068,0.000489164925853111,0.0723909083624238,"Unchanged"
"ENSG00000172236.18","TPSAB1",32.3157684575782,-1.39413342447306,0.393449921667135,-3.54335672139877,0.000395067918547181,0.0634657246770256,"Unchanged"
